Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|480271047|Killeen C1047|OZONE-1HR|PPB|37|1|Texas Commission on Environmental Quality
01/01/20|480271047|Killeen C1047|OZONE-8HR|PPB|34|8|Texas Commission on Environmental Quality
01/01/20|480290032|San Antonio Northwes|OZONE-1HR|PPB|28|1|Texas Commission on Environmental Quality
01/01/20|480290032|San Antonio Northwes|OZONE-8HR|PPB|26|8|Texas Commission on Environmental Quality
01/01/20|480290032|San Antonio Northwes|PM2.5-24hr|UG/M3|33.5|24|Texas Commission on Environmental Quality
01/01/20|480290059|Calaveras Lake C59|OZONE-1HR|PPB|32|1|Texas Commission on Environmental Quality
01/01/20|480290059|Calaveras Lake C59|OZONE-8HR|PPB|29|8|Texas Commission on Environmental Quality
01/01/20|480290059|Calaveras Lake C59|PM2.5-24hr|UG/M3|11.4|24|Texas Commission on Environmental Quality
01/01/20|480290676|San Antonio Palo Alt|PM2.5-24hr|UG/M3|15.1|24|Texas Commission on Environmental Quality
01/01/20|480290677|San Antonio Old Hwy9|PM2.5-24hr|UG/M3|37.4|24|Texas Commission on Environmental Quality
01/01/20|480291069|San Antonio IH35 C10|PM2.5-24hr|UG/M3|15|24|Texas Commission on Environmental Quality
01/01/20|480371031|Texarkana New Boston|PM2.5-24hr|UG/M3|28.7|24|Texas Commission on Environmental Quality
01/01/20|480391004|Manvel Croix Park C8|OZONE-1HR|PPB|39|1|Texas Commission on Environmental Quality
01/01/20|480391004|Manvel Croix Park C8|OZONE-8HR|PPB|32|8|Texas Commission on Environmental Quality
01/01/20|480391016|Lake Jackson C1016|OZONE-1HR|PPB|39|1|Texas Commission on Environmental Quality
01/01/20|480391016|Lake Jackson C1016|OZONE-8HR|PPB|35|8|Texas Commission on Environmental Quality
01/01/20|480430101|Big Bend  NP|OZONE-1HR|PPB|35|1|National Park Service
01/01/20|480430101|Big Bend  NP|OZONE-8HR|PPB|34|8|National Park Service
01/01/20|480610006|Brownsville C80|PM2.5-24hr|UG/M3|8.1|24|Texas Commission on Environmental Quality
01/01/20|480611023|Harlingen Teege C102|OZONE-1HR|PPB|38|1|Texas Commission on Environmental Quality
01/01/20|480611023|Harlingen Teege C102|OZONE-8HR|PPB|29|8|Texas Commission on Environmental Quality
01/01/20|480612004|Isla Blanca C323/C66|PM2.5-24hr|UG/M3|5.6|24|Texas Commission on Environmental Quality
01/01/20|480850005|Frisco C31|OZONE-1HR|PPB|35|1|Texas Commission on Environmental Quality
01/01/20|480850005|Frisco C31|OZONE-8HR|PPB|29|8|Texas Commission on Environmental Quality
01/01/20|481130069|Dallas Hinton St. C4|OZONE-1HR|PPB|37|1|Texas Commission on Environmental Quality
01/01/20|481130069|Dallas Hinton St. C4|OZONE-8HR|PPB|31|8|Texas Commission on Environmental Quality
01/01/20|481130075|Dallas North C63|OZONE-1HR|PPB|38|1|Texas Commission on Environmental Quality
01/01/20|481130075|Dallas North C63|OZONE-8HR|PPB|31|8|Texas Commission on Environmental Quality
01/01/20|481130087|Dallas Redbird Airpo|OZONE-1HR|PPB|41|1|Texas Commission on Environmental Quality
01/01/20|481130087|Dallas Redbird Airpo|OZONE-8HR|PPB|34|8|Texas Commission on Environmental Quality
01/01/20|481210034|Denton Airport South|OZONE-1HR|PPB|37|1|Texas Commission on Environmental Quality
01/01/20|481210034|Denton Airport South|OZONE-8HR|PPB|35|8|Texas Commission on Environmental Quality
01/01/20|481210034|Denton Airport South|PM2.5-24hr|UG/M3|10.5|24|Texas Commission on Environmental Quality
01/01/20|481211032|Pilot Point C1032|OZONE-1HR|PPB|36|1|Texas Commission on Environmental Quality
01/01/20|481211032|Pilot Point C1032|OZONE-8HR|PPB|32|8|Texas Commission on Environmental Quality
01/01/20|481351014|Odessa Gonzales C101|PM2.5-24hr|UG/M3|3.8|24|Texas Commission on Environmental Quality
01/01/20|481390016|Midlothian OFW C52|OZONE-1HR|PPB|38|1|Texas Commission on Environmental Quality
01/01/20|481390016|Midlothian OFW C52|OZONE-8HR|PPB|33|8|Texas Commission on Environmental Quality
